date,country,suspected_cases,confirmed_cases,deaths,recoveries,source_url,case_fatality_rate_pct
2015-10-26,Sierra Leone,5061,14052,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.48
2015-10-26,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-26,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-26,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-23,Guinea,1,3801,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.92
2015-10-23,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-23,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-23,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-23,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-10-23,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-23,Sierra Leone,5047,14038,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.48
2015-10-23,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-23,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-23,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-22,Guinea,1,3801,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.92
2015-10-22,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
